url,ep_title,ep_num
https://fangj.github.io/friends/season/0319.html,the one with the tiny tshirt,319
https://fangj.github.io/friends/season/0318.html,the one with the hypnosis tape,318
https://fangj.github.io/friends/season/0322.html,the one with the screamer,322
https://fangj.github.io/friends/season/0317.html,the one without the ski trip,317
https://fangj.github.io/friends/season/0316.html,the one the morning after,316
https://fangj.github.io/friends/season/0315.html,the one where ross and rachel take a break,315
https://fangj.github.io/friends/season/0314.html,the one with phoebe's expartner,314
https://fangj.github.io/friends/season/0313.html,the one where monica and richard are friends,313
https://fangj.github.io/friends/season/0312.html,the one with all the jealousy,312
https://fangj.github.io/friends/season/0311.html,the one where chandler can't remember which sister,311
https://fangj.github.io/friends/season/0310.html,the one where rachel quits,310
https://fangj.github.io/friends/season/0309.html,the one with the football,309
https://fangj.github.io/friends/season/0308.html,the one with the giant poking device,308
https://fangj.github.io/friends/season/0307.html,the one with the race car bed,307
https://fangj.github.io/friends/season/0306.html,the one with the flashback,306
https://fangj.github.io/friends/season/0305.html,the one with frank jr,305
https://fangj.github.io/friends/season/0304.html,the one with the metaphorical tunnel,304
https://fangj.github.io/friends/season/0303.html,the one with the jam,303
https://fangj.github.io/friends/season/0302.html,the one where noone's ready,302
https://fangj.github.io/friends/season/0301.html,the one with the princess leia fantasy,301
https://fangj.github.io/friends/season/0224.html,the one with barry and mindy's wedding,224
https://fangj.github.io/friends/season/0223.html,the one with the chicken pox,223
https://fangj.github.io/friends/season/0222.html,the one with the two parties,222
https://fangj.github.io/friends/season/0221.html,the one with the two bullies,221
https://fangj.github.io/friends/season/0220.html,the one where old yeller dies,220
https://fangj.github.io/friends/season/0219.html,the one where eddie won't go,219
https://fangj.github.io/friends/season/0218.html,the one where dr remore dies,218
https://fangj.github.io/friends/season/0217.html,the one where eddie moves in,217
https://fangj.github.io/friends/season/0216.html,the one where joey moves out,216
https://fangj.github.io/friends/season/0215.html,the one where ross and rachelyou know,215
https://fangj.github.io/friends/season/0121.html,the one with the fake monica,121
https://fangj.github.io/friends/season/0120.html,the one with the evil orthodontist,120
https://fangj.github.io/friends/season/0119.html,the one where the monkey gets away,119
https://fangj.github.io/friends/season/0116.html,the one with two parts part,116
https://fangj.github.io/friends/season/0118.html,the one with all the poker,118
https://fangj.github.io/friends/season/0115.html,the one with the stoned guy,115
https://fangj.github.io/friends/season/0117.html,the one with two parts part,117
https://fangj.github.io/friends/season/0114.html,the one with the candy hearts,114
https://fangj.github.io/friends/season/0113.html,the one with the boobies,113
https://fangj.github.io/friends/season/0112.html,the one with the dozen lasagnas,112
https://fangj.github.io/friends/season/0111.html,the one with mrs bing,111
https://fangj.github.io/friends/season/0110.html,the one with the monkey,110
https://fangj.github.io/friends/season/0109.html,the one where underdog gets away,109
https://fangj.github.io/friends/season/0108.html,the one where nana dies twice,108
https://fangj.github.io/friends/season/0107.html,the one with the blackout,107
https://fangj.github.io/friends/season/0106.html,the one with the butt,106
https://fangj.github.io/friends/season/0105.html,the one with the east german laundry detergent,105
https://fangj.github.io/friends/season/0104.html,the one with george stephanopoulos,104
https://fangj.github.io/friends/season/0103.html,the one with the thumb,103
https://fangj.github.io/friends/season/0102.html,the one with the sonogram at the end,102
https://fangj.github.io/friends/season/0101.html,the one where monica gets a new roomate the pilotthe uncut version,101
